"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","847","First Test","","2026-09-07","passed","2026-09-07","","First.spec.js","",""
"","3248","visualcomparison","","2026-09-07","passed","2026-09-07","","screenshot.spec.js","",""
"","12661","excelTest_fileupload","","2026-09-07","passed","2026-09-07","","excelTest_fileupload.spec.js","",""
"","4623","swagdemo Sauce Labs Fleece Jacket","","2026-09-07","passed","2026-09-07","","DemoPrjctPOM.spec.js","",""
"","5010","swagdemo Sauce Labs Bike Light","","2026-09-07","passed","2026-09-07","","DemoPrjctPOM.spec.ts","",""
"","10139","radiobutton test","","2026-09-07","passed","2026-09-07","","Radiobutton.spec.js","",""
"","11026","dropdown test","","2026-09-07","passed","2026-09-07","","dropdown.spec.js","",""
"","6573","Locator tests","","2026-09-07","passed","2026-09-07","","Locator.spec.js","",""
"","8277","excelTest_filedownload","","2026-09-07","passed","2026-09-07","","excelTest_fileupload.spec.js","",""
"","82381","alertmodal","","2026-09-07","passed","2026-09-07","","alertModal.spec.js","",""
"","17420","windowpopup","","2026-09-07","passed","2026-09-07","","windowpopSelf.spec.js","",""
"","3081","screenshots","","2026-09-07","passed","2026-09-07","","screenshot.spec.js","",""
"","81031","datePicker","","2026-09-07","passed","2026-09-07","","datePicker.spec.js","",""
"","13618","javascriptalerts","","2026-09-07","failed","2026-09-07","","javascriptAlerts.spec.js","",""
"","82297","swagdemo","","2026-09-07","passed","2026-09-07","","DemoInvalid.spec.js","",""
"","5813","ke","","2026-09-07","passed","2026-09-07","","keyboardAction.spec.js","",""
"","4478","swagdemo Sauce Labs Bike Light","","2026-09-07","passed","2026-09-07","","DemoPrjctPOM.spec.js","",""
"","12059","alertmodalself","","2026-09-07","passed","2026-09-07","","windowpop.spec.js","",""
"","15046","checkbox test","","2026-09-07","passed","2026-09-07","","checkbox.spec.js","",""
"","22523","alertmodalself","","2026-09-07","passed","2026-09-07","","alertModalSelf.spec.js","",""
"","3034","dragandDrop","","2026-09-07","passed","2026-09-07","","dragandDrop.spec.js","",""
"","5141","swagdemo Sauce Labs Fleece Jacket","","2026-09-07","passed","2026-09-07","","DemoPrjctPOM.spec.ts","",""
"","4308","swagdemo Sauce Labs Backpack","","2026-09-07","passed","2026-09-07","","DemoPrjctPOM.spec.js","",""
"","5087","swagdemo","","2026-09-07","passed","2026-09-07","","DemoPrjct.spec.js","",""
"","5829","iframe","","2026-09-07","passed","2026-09-07","","iframe.spec.js","",""
"","83642","datePicker","","2026-09-07","passed","2026-09-07","","dateself.spec.js","",""
"","6301","swagdemo Sauce Labs Backpack","","2026-09-07","passed","2026-09-07","","DemoPrjctPOM.spec.ts","",""
